"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
94,0.475,0.037834,0.02719,,0.046839,0.65691,0.17428,403.21,400.81,0.00013712,-0.00034376,-5.4915e-27,1.0618e-09,1,0.0054222,0.051527,1.005e+05,0.875,0.80986
94,0.475,0.039972,0.028731,,0.049481,0.64945,0.17224,405.12,401.27,0.00014567,-0.00033984,-8.045e-27,1.0863e-09,1,0.0057157,0.054409,1.005e+05,0.875,0.80331
94,0.475,0.042146,0.030296,,0.052165,0.6419,0.17015,407.98,401.96,0.00015474,-0.00033451,5.3382e-27,1.1245e-09,1,0.0060109,0.057332,1.005e+05,0.875,0.79494
94,0.475,0.044347,0.031881,,0.054881,0.63427,0.16803,412.26,402.98,0.00016431,-0.00032716,-8.1853e-27,1.1847e-09,1,0.0063058,0.060281,1.005e+05,0.875,0.78398
94,0.475,0.046567,0.033476,,0.057615,0.62661,0.16589,418.65,404.48,0.00017429,-0.00031695,6.9849e-27,1.2814e-09,1,0.0065983,0.063241,1.005e+05,0.875,0.76933
94,0.475,0.048795,0.035075,,0.060355,0.61896,0.16373,428.2,406.66,0.00018437,-0.0003028,4.8616e-27,1.4412e-09,1,0.0068861,0.066198,1.005e+05,0.875,0.7496
94,0.475,0.051023,0.036669,,0.06309,0.61136,0.16156,442.38,409.87,0.00019396,-0.00028355,9.1888e-27,1.7201e-09,1,0.007167,0.069137,1.005e+05,0.875,0.72309
94,0.475,0.053244,0.038253,,0.065808,0.60383,0.15938,463.32,414.85,0.00020195,-0.00025822,7.937e-27,2.2694e-09,1,0.007439,0.072043,1.005e+05,0.875,0.68809
94,0.475,0.055454,0.039823,,0.068505,0.5964,0.15721,493.95,423.56,0.000207,-0.00022653,3.7833e-27,3.7349e-09,1,0.0077005,0.074911,1.005e+05,0.875,0.64328
94,0.475,0.057659,0.041379,,0.071186,0.58905,0.15503,538.15,441.36,0.00020608,-0.0001894,3.8266e-28,1.1632e-08,1,0.0079513,0.077743,1.005e+05,0.875,0.58851
94,0.475,0.059877,0.042934,,0.073871,0.58174,0.15282,600.95,480.74,0.00019998,-0.000149,-2.9316e-27,1.8303e-07,1,0.0081923,0.08056,1.005e+05,0.875,0.5253
94,0.475,0.062152,0.044515,,0.076611,0.57434,0.15055,689.36,564.43,0.00017138,-0.0001072,7.2723e-28,3.4568e-05,0.99997,0.0084274,0.083413,1.005e+05,0.87501,0.45643
94,0.475,0.064547,0.046161,,0.07948,0.56663,0.14814,816.23,855.3,0.00018829,-6.0131e-05,-3.4272e-27,0.99159,0.0084114,0.0086618,0.086378,1.005e+05,0.96496,0.38417
94,0.475,0.066182,0.047282,,0.081419,0.56157,0.14644,847.16,877.83,0.00020082,-7.9313e-05,-5.4585e-27,0.99978,0.00022385,0.008789,0.08832,1.005e+05,0.96517,0.36931
94,0.475,0.067987,0.048552,,0.083593,0.55577,0.14459,856.91,878.97,0.00016504,-8.5996e-05,-2.9071e-27,0.99982,0.00018079,0.0089598,0.090553,1.005e+05,0.96517,0.36418
94,0.475,0.069875,0.049908,,0.085893,0.54952,0.14268,860.76,879.26,0.00015481,-8.962e-05,2.7398e-27,0.99983,0.00017283,0.0091619,0.092957,1.005e+05,0.96517,0.36156
