"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
36,0.185,0.067966,0.048579,,0.08408,0.55042,0.1463,404.38,400.29,-0.00029796,-0.00030125,-5.6874e-27,4.017e-10,1,0.0098765,0.092777,1.0044e+05,0.875,0.76964
36,0.185,0.077421,0.055338,,0.095777,0.51709,0.13744,406.71,400.46,-0.00039021,-0.00028701,-3.1203e-28,4.0437e-10,1,0.011251,0.10568,1.0044e+05,0.875,0.75427
36,0.185,0.087701,0.062689,,0.1085,0.48085,0.1278,410.18,400.71,-0.00050789,-0.00026935,5.6557e-27,4.0851e-10,1,0.012745,0.11972,1.0044e+05,0.875,0.73642
36,0.185,0.098786,0.070616,,0.12221,0.44177,0.11741,415.33,401.09,-0.00065943,-0.00024715,3.7382e-27,4.1498e-10,1,0.014357,0.13486,1.0044e+05,0.875,0.71546
36,0.185,0.11062,0.079081,,0.13686,0.40003,0.10631,422.91,401.66,-0.0008572,-0.0002188,2.3692e-26,4.2505e-10,1,0.016078,0.15102,1.0044e+05,0.875,0.69065
36,0.185,0.12311,0.088014,,0.15231,0.35599,0.094602,433.95,402.49,-0.0011209,-0.00018183,5.7306e-27,4.408e-10,1,0.017894,0.16807,1.0044e+05,0.875,0.66117
36,0.185,0.13609,0.097297,,0.16837,0.31023,0.082435,449.86,403.69,-0.0014802,-0.00013223,1.182e-26,4.6558e-10,1,0.019781,0.18579,1.0044e+05,0.875,0.62626
36,0.185,0.1493,0.10675,,0.18472,0.26366,0.07005,472.54,405.42,-0.0019949,-6.2474e-05,-2.3261e-26,5.0527e-10,1,0.021702,0.20383,1.0044e+05,0.875,0.58546
36,0.185,0.16238,0.11611,,0.20091,0.21752,0.057782,504.44,408.09,-0.0027297,4.2795e-05,-4.0687e-26,5.7413e-10,1,0.023604,0.2217,1.0044e+05,0.875,0.5388
36,0.185,0.17489,0.12506,,0.21639,0.1734,0.046052,548.87,413.81,-0.0039973,0.00021862,-6.9785e-26,7.5251e-10,1,0.025423,0.23878,1.0044e+05,0.875,0.48701
36,0.185,0.18636,0.13327,,0.23058,0.13296,0.035297,610.34,433.98,-0.005576,0.00054947,-1.5104e-26,2.4558e-09,1,0.027091,0.25444,1.0044e+05,0.875,0.43143
36,0.185,0.19641,0.14046,,0.24302,0.09751,0.025871,695.54,513.22,-0.011052,0.0012491,-1.9937e-25,6.0196e-07,1,0.028553,0.26817,1.0045e+05,0.875,0.3737
36,0.185,0.20488,0.14652,,0.25351,0.067637,0.017928,815,834.15,-0.010347,0.0044357,1.6122e-25,0.40272,0.59728,0.029785,0.27974,1.0045e+05,0.93881,0.31549
36,0.185,0.20882,0.14936,,0.25839,0.053714,0.014221,843.8,849.34,-0.0057437,0.0049921,2.3725e-25,0.54622,0.45378,0.030359,0.28513,1.0045e+05,0.94823,0.3032
36,0.185,0.2114,0.15122,,0.26159,0.044614,0.011797,852.94,849.99,-0.0046398,0.0053969,6.8586e-26,0.55242,0.44758,0.030734,0.28866,1.0045e+05,0.94857,0.29898
36,0.185,0.21327,0.15257,,0.26391,0.037997,0.010035,856.62,850.09,-0.0034587,0.0056214,1.6951e-25,0.55332,0.44668,0.031007,0.29122,1.0045e+05,0.94862,0.297
36,0.185,0.2147,0.1536,,0.26569,0.032923,0.008685,858.4,850.14,-0.0026996,0.0057566,-3.9703e-26,0.55371,0.44629,0.031217,0.29318,1.0045e+05,0.94864,0.29584
36,0.185,0.21584,0.15442,,0.2671,0.028908,0.007617,859.4,850.16,-0.0021202,0.0058427,-3.1149e-26,0.55392,0.44608,0.031382,0.29474,1.0045e+05,0.94865,0.29508
36,0.185,0.21676,0.15508,,0.26823,0.025665,0.0067549,860,850.18,-0.0016848,0.0059008,-8.8952e-26,0.55406,0.44594,0.031516,0.29599,1.0045e+05,0.94866,0.29453
36,0.185,0.21751,0.15562,,0.26917,0.023008,0.0060491,860.39,850.19,-0.0013473,0.0059418,3.9516e-26,0.55415,0.44585,0.031626,0.29702,1.0045e+05,0.94866,0.29412
36,0.185,0.21814,0.15606,,0.26994,0.02081,0.0054653,860.66,850.19,-0.0010825,0.005972,1.8007e-25,0.55421,0.44579,0.031717,0.29787,1.0045e+05,0.94867,0.2938
36,0.185,0.21866,0.15643,,0.27058,0.018977,0.004979,860.84,850.2,-0.00087245,0.0059948,-1.2751e-26,0.55425,0.44575,0.031792,0.29858,1.0045e+05,0.94867,0.29355
36,0.185,0.21909,0.15674,,0.27112,0.017441,0.0045715,860.98,850.2,-0.00070454,0.0060125,0,0.55428,0.44572,0.031856,0.29918,1.0045e+05,0.94867,0.29335
36,0.185,0.21946,0.157,,0.27157,0.016148,0.0042287,861.08,850.2,-0.00056949,0.0060264,9.0873e-26,0.5543,0.4457,0.031909,0.29968,1.0045e+05,0.94867,0.29318
36,0.185,0.21977,0.15722,,0.27196,0.015056,0.0039393,861.16,850.2,-0.00046046,0.0060375,6.6774e-27,0.55432,0.44568,0.031954,0.3001,1.0045e+05,0.94867,0.29304
36,0.185,0.22003,0.15741,,0.27228,0.014132,0.0036945,861.22,850.21,-0.00037224,0.0060464,1.8237e-25,0.55433,0.44567,0.031992,0.30046,1.0045e+05,0.94867,0.29292
36,0.185,0.22026,0.15756,,0.27256,0.013348,0.003487,861.26,850.21,-0.00030066,0.0060537,-4.3289e-27,0.55434,0.44566,0.032025,0.30076,1.0045e+05,0.94867,0.29282
36,0.185,0.22045,0.1577,,0.27279,0.012683,0.003311,861.3,850.21,-0.00024249,0.0060595,0,0.55435,0.44565,0.032052,0.30102,1.0045e+05,0.94867,0.29274
36,0.185,0.22061,0.15781,,0.27299,0.012118,0.0031616,861.33,850.21,-0.0001952,0.0060644,9.4248e-26,0.55436,0.44564,0.032075,0.30124,1.0045e+05,0.94867,0.29267
36,0.185,0.22075,0.1579,,0.27316,0.011638,0.0030348,861.35,850.21,-0.00015674,0.0060683,1.8305e-25,0.55436,0.44564,0.032095,0.30143,1.0045e+05,0.94867,0.29262
36,0.185,0.22086,0.15799,,0.2733,0.011231,0.0029272,861.37,850.21,-0.00012537,0.0060716,-1.763e-27,0.55437,0.44563,0.032112,0.30158,1.0045e+05,0.94868,0.29257
36,0.185,0.22096,0.15805,,0.27342,0.010886,0.0028359,861.39,850.21,-9.9838e-05,0.0060743,0,0.55437,0.44563,0.032126,0.30172,1.0045e+05,0.94868,0.29253
36,0.185,0.22105,0.15811,,0.27352,0.010593,0.0027586,861.4,850.21,-7.9137e-05,0.0060765,-1.0906e-27,0.55437,0.44563,0.032138,0.30183,1.0045e+05,0.94868,0.29249
36,0.185,0.22112,0.15816,,0.27361,0.010345,0.0026932,861.42,850.21,-6.2293e-05,0.0060783,-9.1685e-26,0.55438,0.44562,0.032149,0.30193,1.0045e+05,0.94868,0.29246
36,0.185,0.22118,0.1582,,0.27368,0.010136,0.0026379,861.43,850.21,-4.8608e-05,0.0060798,6.5013e-28,0.55438,0.44562,0.032157,0.30201,1.0045e+05,0.94868,0.29244
36,0.185,0.22123,0.15824,,0.27374,0.0099591,0.0025912,861.43,850.21,-3.7522e-05,0.0060811,0,0.55438,0.44562,0.032165,0.30208,1.0045e+05,0.94868,0.29241
36,0.185,0.22127,0.15827,,0.2738,0.0098103,0.002552,861.44,850.21,-2.8547e-05,0.0060821,3.602e-28,0.55438,0.44562,0.032171,0.30213,1.0045e+05,0.94868,0.2924
36,0.185,0.22131,0.15829,,0.27384,0.0096852,0.002519,861.45,850.21,-2.1319e-05,0.006083,1.8352e-25,0.55438,0.44562,0.032176,0.30218,1.0045e+05,0.94868,0.29238
36,0.185,0.22134,0.15831,,0.27388,0.0095804,0.0024914,861.45,850.21,-1.5509e-05,0.0060837,-1.7379e-28,0.55438,0.44562,0.03218,0.30222,1.0045e+05,0.94868,0.29237
36,0.185,0.22136,0.15833,,0.27391,0.0094927,0.0024683,861.45,850.21,-1.0831e-05,0.0060843,9.1781e-26,0.55438,0.44562,0.032184,0.30226,1.0045e+05,0.94868,0.29236
36,0.185,0.22138,0.15834,,0.27393,0.0094196,0.002449,861.46,850.21,-7.0816e-06,0.0060847,9.1734e-26,0.55438,0.44562,0.032187,0.30229,1.0045e+05,0.94868,0.29235
36,0.185,0.2214,0.15836,,0.27396,0.0093587,0.002433,861.46,850.21,-4.1415e-06,0.0060851,-9.1795e-26,0.55438,0.44562,0.032189,0.30231,1.0045e+05,0.94868,0.29234
36,0.185,0.22141,0.15837,,0.27397,0.0093083,0.0024197,861.46,850.21,-1.8424e-06,0.0060854,1.5424e-29,0.55438,0.44562,0.032191,0.30233,1.0045e+05,0.94868,0.29234
36,0.185,0.22143,0.15837,,0.27399,0.0092667,0.0024087,861.46,850.21,-2.6918e-08,0.0060857,-9.1766e-26,0.55438,0.44562,0.032193,0.30234,1.0045e+05,0.94868,0.29233
36,0.185,0.22144,0.15838,,0.274,0.0092324,0.0023997,861.47,850.21,1.355e-06,0.0060859,-9.1922e-26,0.55438,0.44562,0.032195,0.30236,1.0045e+05,0.94868,0.29233
36,0.185,0.22144,0.15839,,0.27401,0.0092042,0.0023923,861.47,850.21,2.4208e-06,0.0060861,9.1741e-26,0.55438,0.44562,0.032196,0.30237,1.0045e+05,0.94868,0.29233
36,0.185,0.22145,0.15839,,0.27402,0.0091813,0.0023862,861.47,850.21,3.2339e-06,0.0060862,0,0.55438,0.44562,0.032197,0.30238,1.0045e+05,0.94868,0.29232
36,0.185,0.22146,0.15839,,0.27402,0.0091627,0.0023813,861.47,850.21,3.8028e-06,0.0060864,-8.7722e-29,0.55438,0.44562,0.032197,0.30238,1.0045e+05,0.94868,0.29232
36,0.185,0.22146,0.1584,,0.27403,0.0091476,0.0023774,861.47,850.21,4.161e-06,0.0060864,1.8372e-25,0.55438,0.44562,0.032198,0.30239,1.0045e+05,0.94868,0.29232
