"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
25,0.13,0.053425,0.038175,,0.066084,0.60171,0.15993,404.57,400.17,-0.00091351,-0.00027588,-6.3773e-27,2.8078e-10,1,0.0077604,0.072915,1.0036e+05,0.875,0.78616
25,0.13,0.064124,0.045821,,0.07932,0.564,0.1499,406.95,400.27,-0.0011336,-0.00025325,1.1007e-26,2.818e-10,1,0.0093155,0.08752,1.0036e+05,0.875,0.76864
25,0.13,0.076224,0.05447,,0.094289,0.52134,0.13856,410.49,400.43,-0.0014121,-0.00022485,6.618e-27,2.8341e-10,1,0.011074,0.10404,1.0036e+05,0.875,0.74802
25,0.13,0.089694,0.064097,,0.11095,0.47386,0.12594,415.74,400.67,-0.0017687,-0.00018888,2.068e-26,2.8594e-10,1,0.013032,0.12243,1.0036e+05,0.875,0.72379
25,0.13,0.10442,0.074619,,0.12916,0.42196,0.11214,423.43,401.04,-0.0022317,-0.00014265,4.8979e-26,2.8992e-10,1,0.015172,0.14252,1.0036e+05,0.875,0.69541
25,0.13,0.12015,0.085866,,0.14863,0.36649,0.097396,434.6,401.58,-0.0028449,-8.1812e-05,7.5524e-27,2.9617e-10,1,0.01746,0.16401,1.0036e+05,0.875,0.66237
25,0.13,0.1365,0.097554,,0.16886,0.30885,0.082071,450.63,402.37,-0.0036747,1.3563e-06,1.6634e-26,3.06e-10,1,0.019837,0.18633,1.0036e+05,0.875,0.62429
25,0.13,0.15289,0.10927,,0.18914,0.25107,0.066712,473.35,403.51,-0.0048459,0.0001223,-6.6288e-26,3.2151e-10,1,0.02222,0.2087,1.0036e+05,0.875,0.58109
25,0.13,0.16857,0.12048,,0.20854,0.19578,0.052016,505.17,405.21,-0.0065122,0.00031343,-1.0209e-25,3.4688e-10,1,0.0245,0.23011,1.0036e+05,0.875,0.53313
25,0.13,0.18275,0.13061,,0.22607,0.14581,0.03873,549.32,408.57,-0.0092788,0.00064917,-1.6379e-25,4.0137e-10,1,0.026561,0.24947,1.0036e+05,0.875,0.4812
