"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
192,0.965,0.011568,0.0077559,,0.013819,0.75235,0.19875,404.56,401.61,7.2905e-05,-0.00035489,-5.7354e-27,2.2499e-09,1,0.0012483,0.014513,1.0052e+05,0.875,0.84404
192,0.965,0.012656,0.0084687,,0.015104,0.74889,0.19768,407.07,402.53,7.4473e-05,-0.00035046,-6.9892e-27,2.3585e-09,1,0.0013548,0.015844,1.0052e+05,0.875,0.83743
192,0.965,0.013883,0.0092738,,0.016555,0.74498,0.19648,410.75,403.87,7.5884e-05,-0.00034419,5.5689e-27,2.5321e-09,1,0.0014756,0.017348,1.0052e+05,0.875,0.82837
192,0.965,0.015269,0.010184,,0.018194,0.74057,0.19512,416.14,405.84,7.6795e-05,-0.00033536,-6.8044e-27,2.8181e-09,1,0.001613,0.019048,1.0052e+05,0.875,0.81591
192,0.965,0.016832,0.011211,,0.020045,0.73558,0.1936,424,408.75,7.6575e-05,-0.00032305,9.163e-27,3.3128e-09,1,0.001769,0.020969,1.0052e+05,0.875,0.79887
192,0.965,0.018592,0.01237,,0.02213,0.72995,0.19188,435.42,413.08,7.4151e-05,-0.00030624,5.0334e-27,4.2416e-09,1,0.001946,0.023137,1.0052e+05,0.875,0.77581
192,0.965,0.020569,0.013673,,0.024473,0.72362,0.18995,451.9,419.69,6.7791e-05,-0.00028398,9.4838e-27,6.2577e-09,1,0.0021461,0.025575,1.0052e+05,0.875,0.74527
192,0.965,0.022779,0.015132,,0.027094,0.71653,0.18779,475.41,430.15,5.4989e-05,-0.00025582,5.3533e-27,1.1944e-08,1,0.0023713,0.028305,1.0052e+05,0.875,0.70603
192,0.965,0.025237,0.016756,,0.030011,0.70864,0.18539,508.46,447.34,3.1954e-05,-0.00022223,5.3905e-28,3.7302e-08,1,0.002623,0.031345,1.0052e+05,0.875,0.65767
192,0.965,0.027955,0.018553,,0.033238,0.6999,0.18274,554.12,476.26,-4.504e-06,-0.00018491,-3.665e-27,2.7287e-07,1,0.0029023,0.034711,1.0052e+05,0.875,0.60099
192,0.965,0.03095,0.020531,,0.036791,0.69028,0.17982,616.31,525.16,-6.7096e-05,-0.00014672,-3.0537e-27,6.4425e-06,0.99999,0.0032096,0.038416,1.0052e+05,0.875,0.53791
192,0.965,0.034235,0.022698,,0.040687,0.67975,0.17662,701.08,607.73,-0.00012591,-0.00010714,-5.0348e-27,0.00056284,0.99944,0.0035438,0.042472,1.0052e+05,0.87518,0.47054
192,0.965,0.037585,0.024881,,0.044636,0.66915,0.17333,821.21,861.97,-0.00019771,-9.5556e-05,3.739e-27,1,2.3198e-07,0.0038662,0.046552,1.0052e+05,0.96517,0.39973
192,0.965,0.041077,0.027196,,0.048784,0.65792,0.16992,850.42,882.04,-0.00026892,-0.00012574,1.1048e-26,1,8.564e-12,0.0042244,0.050877,1.0052e+05,0.96518,0.384
192,0.965,0.044532,0.029523,,0.052918,0.64664,0.16656,859.63,883.47,-0.00027763,-0.00015885,5.2556e-27,1,4.1114e-12,0.0046007,0.055224,1.0052e+05,0.96518,0.37791
192,0.965,0.047767,0.031726,,0.056809,0.63598,0.16342,863.3,883.97,-0.00025564,-0.00018069,-9.6696e-28,1,3.3238e-12,0.0049662,0.059337,1.0052e+05,0.96518,0.37448
192,0.965,0.050707,0.033745,,0.060357,0.62622,0.16056,865.07,884.2,-0.00021981,-0.00019225,-4.171e-27,1,3.0321e-12,0.0053057,0.063101,1.0052e+05,0.96518,0.37206
192,0.965,0.053349,0.03557,,0.063553,0.61742,0.158,866.07,884.32,-0.00018201,-0.00019747,-3.4639e-27,1,2.8972e-12,0.0056152,0.066498,1.0052e+05,0.96518,0.37016
192,0.965,0.05572,0.037218,,0.066429,0.60949,0.15569,866.68,884.39,-0.00014741,-0.00019942,9.6461e-28,1,2.8214e-12,0.005896,0.06956,1.0052e+05,0.96518,0.36858
192,0.965,0.057857,0.03871,,0.069025,0.60232,0.15361,867.08,884.43,-0.00011783,-0.00019986,4.5228e-27,1,2.7747e-12,0.0061514,0.072327,1.0052e+05,0.96518,0.36722
192,0.965,0.059791,0.040069,,0.071381,0.5958,0.15173,867.37,884.45,-9.3389e-05,-0.00019971,-2.0132e-27,1,2.7423e-12,0.0063849,0.074842,1.0052e+05,0.96518,0.36604
192,0.965,0.061554,0.041314,,0.073531,0.58985,0.15001,867.57,884.48,-7.3598e-05,-0.00019937,-1.43e-27,1,2.7178e-12,0.0065995,0.07714,1.0052e+05,0.96518,0.36498
192,0.965,0.063169,0.042461,,0.075506,0.58438,0.14844,867.73,884.49,-5.7766e-05,-0.00019902,0,1,2.7011e-12,0.006798,0.079254,1.0052e+05,0.96518,0.36403
192,0.965,0.064659,0.043524,,0.077331,0.57931,0.14698,867.86,884.5,-4.5225e-05,-0.00019873,-1.023e-27,1,2.685e-12,0.0069827,0.081209,1.0052e+05,0.96518,0.36316
192,0.965,0.06604,0.044515,,0.079026,0.5746,0.14563,867.96,884.52,-3.5387e-05,-0.00019852,7.0872e-28,1,2.6725e-12,0.0071555,0.083028,1.0052e+05,0.96518,0.36237
192,0.965,0.067327,0.045443,,0.08061,0.5702,0.14437,868.04,884.53,-2.7736e-05,-0.0001984,-2.069e-27,1,2.6611e-12,0.0073181,0.08473,1.0052e+05,0.96518,0.36163
192,0.965,0.068534,0.046317,,0.082097,0.56606,0.14319,868.11,884.54,-2.1862e-05,-0.00019835,-4.5052e-28,1,2.6511e-12,0.0074719,0.08633,1.0052e+05,0.96518,0.36094
192,0.965,0.06967,0.047145,,0.083501,0.56214,0.14208,868.18,884.54,-1.7434e-05,-0.00019836,0,1,2.6426e-12,0.0076181,0.087842,1.0052e+05,0.96518,0.3603
