"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
108,0.545,0.028791,0.020634,,0.035565,0.68933,0.18269,403.21,400.92,0.00012669,-0.00034855,-5.572e-27,1.226e-09,1,0.0040333,0.03896,1.005e+05,0.875,0.82203
108,0.545,0.030222,0.021649,,0.037315,0.68446,0.1813,405.12,401.44,0.00013468,-0.000345,-7.9366e-27,1.2588e-09,1,0.0042125,0.04084,1.005e+05,0.875,0.81631
108,0.545,0.031678,0.022677,,0.039093,0.67954,0.17988,407.97,402.21,0.00014326,-0.00034006,5.4278e-27,1.3101e-09,1,0.0043904,0.04274,1.005e+05,0.875,0.80875
108,0.545,0.033158,0.023717,,0.040893,0.67457,0.17844,412.23,403.36,0.00015241,-0.00033307,-8.0654e-27,1.3915e-09,1,0.0045659,0.044656,1.005e+05,0.875,0.79855
108,0.545,0.034658,0.024767,,0.042713,0.66958,0.17696,418.61,405.05,0.00016205,-0.00032319,7.3992e-27,1.5235e-09,1,0.0047376,0.046582,1.005e+05,0.875,0.78458
108,0.545,0.036179,0.025822,,0.044549,0.66457,0.17546,428.11,407.51,0.00017187,-0.0003093,4.9591e-27,1.7455e-09,1,0.0049043,0.048512,1.005e+05,0.875,0.76539
108,0.545,0.037718,0.026882,,0.046399,0.65956,0.17393,442.24,411.19,0.00018128,-0.0002902,9.3822e-27,2.1447e-09,1,0.0050649,0.050442,1.005e+05,0.875,0.73923
108,0.545,0.039276,0.027945,,0.048261,0.65456,0.17237,463.12,416.96,0.0001892,-0.00026486,7.786e-27,2.976e-09,1,0.0052185,0.052369,1.005e+05,0.875,0.70427
108,0.545,0.040856,0.029011,,0.050139,0.64955,0.17079,493.69,427.07,0.00019407,-0.00023299,3.5283e-27,5.4093e-09,1,0.0053643,0.054294,1.005e+05,0.875,0.65914
108,0.545,0.042465,0.030083,,0.052039,0.64453,0.16916,537.82,447.08,0.00019399,-0.00019563,5.999e-29,2.014e-08,1,0.0055023,0.056224,1.005e+05,0.875,0.60366
108,0.545,0.044119,0.03117,,0.053978,0.63945,0.16748,600.52,488.69,0.00018616,-0.00015533,-2.9719e-27,3.6387e-07,1,0.0056329,0.058172,1.005e+05,0.875,0.53937
108,0.545,0.045841,0.032284,,0.055981,0.63426,0.16572,688.89,572.43,0.00017324,-0.00011448,6.6057e-28,5.9647e-05,0.99994,0.0057564,0.060164,1.005e+05,0.87502,0.46905
108,0.545,0.047629,0.033416,,0.058039,0.62899,0.16388,816.22,856.71,0.00016132,-8.0145e-05,-2.8964e-27,0.99791,0.00209,0.0058678,0.062179,1.005e+05,0.96512,0.39492
108,0.545,0.049225,0.034428,,0.059874,0.62434,0.16222,847.17,878.68,0.00014615,-8.9779e-05,-3.5606e-27,0.99998,2.1723e-05,0.0059581,0.063958,1.005e+05,0.96517,0.37968
108,0.545,0.050876,0.035514,,0.061803,0.61934,0.16052,856.96,879.88,0.00012538,-9.673e-05,-2.1822e-27,0.99998,1.6469e-05,0.0060772,0.065876,1.005e+05,0.96517,0.37448
108,0.545,0.052534,0.036636,,0.063769,0.61415,0.15883,860.85,880.21,0.00011861,-0.00010072,2.4821e-27,0.99998,1.5475e-05,0.0062183,0.067869,1.005e+05,0.96517,0.37192
108,0.545,0.054185,0.037781,,0.06575,0.60885,0.15715,862.68,880.35,0.00011511,-0.00010258,2.015e-27,0.99998,1.5082e-05,0.0063768,0.069909,1.005e+05,0.96517,0.37024
108,0.545,0.055831,0.038947,,0.067745,0.60344,0.1555,863.67,880.42,0.00011362,-0.00010335,1.9973e-27,0.99999,1.4886e-05,0.0065502,0.071991,1.005e+05,0.96517,0.36892
