"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
194,0.975,0.011605,0.0077791,,0.013862,0.75223,0.19871,404.61,401.63,7.1147e-05,-0.00035477,-5.7348e-27,2.2752e-09,1,0.0012521,0.014558,1.0052e+05,0.875,0.84389
194,0.975,0.012717,0.0085095,,0.015178,0.74869,0.19762,407.14,402.56,7.2573e-05,-0.00035028,-6.9541e-27,2.3862e-09,1,0.0013622,0.015923,1.0052e+05,0.875,0.83721
194,0.975,0.013972,0.0093349,,0.016664,0.74468,0.1964,410.85,403.91,7.3809e-05,-0.00034395,5.567e-27,2.5638e-09,1,0.0014873,0.017465,1.0052e+05,0.875,0.82806
194,0.975,0.01539,0.010268,,0.018342,0.74015,0.19501,416.28,405.91,7.4499e-05,-0.00033504,-6.7608e-27,2.8567e-09,1,0.0016294,0.01921,1.0052e+05,0.875,0.81548
194,0.975,0.016989,0.011322,,0.020238,0.73503,0.19345,424.19,408.85,7.399e-05,-0.00032263,9.2022e-27,3.3642e-09,1,0.001791,0.021181,1.0052e+05,0.875,0.79831
194,0.975,0.01879,0.012511,,0.022374,0.72925,0.19169,435.68,413.23,7.118e-05,-0.00030572,5.0291e-27,4.3197e-09,1,0.0019743,0.023406,1.0052e+05,0.875,0.77511
194,0.975,0.020812,0.013848,,0.024774,0.72276,0.18972,452.23,419.92,6.43e-05,-0.00028337,9.4744e-27,6.4029e-09,1,0.0021814,0.025907,1.0052e+05,0.875,0.74442
194,0.975,0.023072,0.015344,,0.027458,0.71549,0.18751,475.83,430.48,5.0796e-05,-0.00025514,5.2731e-27,1.2317e-08,1,0.0024145,0.028708,1.0052e+05,0.875,0.70507
194,0.975,0.025585,0.017009,,0.030444,0.7074,0.18507,508.95,447.81,2.6808e-05,-0.00022152,4.4603e-28,3.8895e-08,1,0.0026748,0.031825,1.0052e+05,0.875,0.65666
194,0.975,0.028363,0.01885,,0.033746,0.69844,0.18236,554.66,476.88,-1.0897e-05,-0.00018423,-3.7786e-27,2.8733e-07,1,0.0029636,0.035275,1.0052e+05,0.875,0.60001
194,0.975,0.031422,0.020877,,0.037381,0.68859,0.17938,616.83,525.88,-7.535e-05,-0.00014614,-3.0532e-27,6.7882e-06,0.99999,0.0032811,0.039071,1.0052e+05,0.875,0.53705
194,0.975,0.034777,0.023095,,0.041364,0.6778,0.17611,701.48,608.39,-0.00013574,-0.0001066,-5.2165e-27,0.00058585,0.99941,0.0036265,0.043225,1.0052e+05,0.87519,0.46986
194,0.975,0.038193,0.02533,,0.045398,0.66696,0.17276,821.37,862.07,-0.00020905,-9.5778e-05,3.9449e-27,1,1.8443e-07,0.0039598,0.047401,1.0052e+05,0.96517,0.39925
194,0.975,0.041755,0.027697,,0.049634,0.65547,0.16929,850.52,882.1,-0.00028169,-0.00012681,1.1486e-26,1,5.953e-12,0.0043292,0.051824,1.0052e+05,0.96518,0.38353
194,0.975,0.045276,0.030075,,0.053854,0.64395,0.16586,859.71,883.53,-0.00029009,-0.00016074,5.4816e-27,1,2.8235e-12,0.0047168,0.056268,1.0052e+05,0.96518,0.37742
194,0.975,0.048573,0.032326,,0.057823,0.63305,0.16266,863.37,884.04,-0.00026717,-0.00018312,-1.0813e-27,1,2.2726e-12,0.0050928,0.060471,1.0052e+05,0.96518,0.37396
194,0.975,0.051568,0.034387,,0.061442,0.62309,0.15976,865.14,884.27,-0.00023013,-0.00019499,-4.3579e-27,1,2.0691e-12,0.0054419,0.064315,1.0052e+05,0.96518,0.37151
194,0.975,0.054259,0.03625,,0.064701,0.6141,0.15714,866.14,884.39,-0.00019107,-0.00020036,-3.6281e-27,1,1.975e-12,0.0057599,0.067784,1.0052e+05,0.96518,0.36959
194,0.975,0.056673,0.037931,,0.067631,0.60601,0.1548,866.75,884.45,-0.00015531,-0.00020237,1.0339e-27,1,1.9221e-12,0.0060484,0.070908,1.0052e+05,0.96518,0.36798
194,0.975,0.058846,0.039453,,0.070276,0.5987,0.15269,867.16,884.5,-0.0001247,-0.00020284,4.7722e-27,1,1.8897e-12,0.0063107,0.073731,1.0052e+05,0.96518,0.36661
194,0.975,0.060814,0.040838,,0.072674,0.59206,0.15077,867.44,884.52,-9.9387e-05,-0.00020269,-2.1545e-27,1,1.8672e-12,0.0065502,0.076295,1.0052e+05,0.96518,0.36541
194,0.975,0.062605,0.042106,,0.074862,0.58599,0.14903,867.65,884.55,-7.8846e-05,-0.00020235,-1.5247e-27,1,1.8502e-12,0.0067702,0.078637,1.0052e+05,0.96518,0.36434
