"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
199,1,0.011746,0.0078745,,0.014033,0.75176,0.19858,404.74,401.69,6.6895e-05,-0.00035443,-5.7325e-27,2.3387e-09,1,0.0012696,0.014741,1.0053e+05,0.875,0.84347
199,1,0.012921,0.0086508,,0.015427,0.74799,0.19743,407.32,402.63,6.7973e-05,-0.00034982,-6.869e-27,2.456e-09,1,0.0013892,0.016193,1.0053e+05,0.875,0.83659
199,1,0.014249,0.0095291,,0.017003,0.74372,0.19614,411.11,404.03,6.878e-05,-0.00034332,5.5616e-27,2.6438e-09,1,0.0015252,0.017836,1.0053e+05,0.875,0.82719
199,1,0.015748,0.010522,,0.018784,0.7389,0.19467,416.63,406.08,6.8918e-05,-0.0003342,-6.6545e-27,2.9544e-09,1,0.0016799,0.019694,1.0053e+05,0.875,0.81433
199,1,0.01744,0.011645,,0.020795,0.73344,0.19302,424.68,409.11,6.7684e-05,-0.00032156,9.296e-27,3.4949e-09,1,0.0018557,0.021795,1.0053e+05,0.875,0.79682
199,1,0.019345,0.01291,,0.023061,0.7273,0.19117,436.33,413.61,6.3902e-05,-0.00030438,5.0181e-27,4.5197e-09,1,0.002055,0.024164,1.0053e+05,0.875,0.77326
199,1,0.021482,0.014333,,0.025606,0.72038,0.18909,453.08,420.48,5.5706e-05,-0.00028179,9.4502e-27,6.7792e-09,1,0.0022802,0.026827,1.0053e+05,0.875,0.74223
199,1,0.023868,0.015923,,0.02845,0.71265,0.18677,476.88,431.31,4.0425e-05,-0.00025338,5.0747e-27,1.3297e-08,1,0.0025332,0.029806,1.0053e+05,0.875,0.7026
199,1,0.026519,0.017691,,0.031609,0.70406,0.18419,510.19,448.99,1.4025e-05,-0.00021971,2.1521e-28,4.3153e-08,1,0.0028155,0.033119,1.0053e+05,0.875,0.65407
199,1,0.029447,0.019644,,0.0351,0.69456,0.18134,556,478.43,-2.6836e-05,-0.00018251,-4.0615e-27,3.2641e-07,1,0.0031281,0.036779,1.0053e+05,0.875,0.59751
