"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
177,0.89,0.011706,0.0078947,,0.01402,0.75171,0.19862,404.21,401.47,8.6578e-05,-0.00035556,-5.7356e-27,2.0615e-09,1,0.001286,0.014762,1.0052e+05,0.875,0.84445
177,0.89,0.012634,0.0084931,,0.015107,0.74882,0.1977,406.57,402.3,8.9294e-05,-0.00035149,-7.2593e-27,2.1529e-09,1,0.0013692,0.015875,1.0052e+05,0.875,0.83838
177,0.89,0.013675,0.0091636,,0.016326,0.74557,0.19668,410.04,403.54,9.207e-05,-0.00034568,5.578e-27,2.2984e-09,1,0.0014624,0.017122,1.0052e+05,0.875,0.82999
177,0.89,0.014843,0.0099163,,0.017695,0.74193,0.19553,415.13,405.35,9.4667e-05,-0.00033743,-7.1399e-27,2.5364e-09,1,0.0015674,0.018523,1.0052e+05,0.875,0.81835
177,0.89,0.016156,0.010762,,0.019234,0.73783,0.19423,422.62,408.01,9.6602e-05,-0.00032581,8.8454e-27,2.9428e-09,1,0.0016859,0.020099,1.0052e+05,0.875,0.80228
177,0.89,0.017631,0.011713,,0.020963,0.73322,0.19278,433.56,411.99,9.7008e-05,-0.00030976,5.0601e-27,3.6902e-09,1,0.0018197,0.021871,1.0052e+05,0.875,0.7803
177,0.89,0.019285,0.012781,,0.022903,0.72805,0.19115,449.46,418.05,9.4434e-05,-0.00028824,9.5456e-27,5.2587e-09,1,0.0019707,0.023861,1.0052e+05,0.875,0.75082
177,0.89,0.021135,0.013975,,0.025074,0.72225,0.18933,472.34,427.69,8.6721e-05,-0.00026063,5.9583e-27,9.4683e-09,1,0.0021405,0.026089,1.0052e+05,0.875,0.71247
177,0.89,0.023195,0.015305,,0.027491,0.7158,0.18731,504.82,443.79,7.0581e-05,-0.00022725,1.2393e-27,2.7127e-08,1,0.0023306,0.028572,1.0052e+05,0.875,0.66458
177,0.89,0.025477,0.01678,,0.030171,0.70864,0.18507,550.15,471.51,4.3164e-05,-0.00018968,-2.8153e-27,1.8299e-07,1,0.0025419,0.031326,1.0052e+05,0.875,0.60776
177,0.89,0.027997,0.018407,,0.033129,0.70074,0.18259,612.46,519.6,-6.0173e-06,-0.00015078,-3.0576e-27,4.2776e-06,1,0.002775,0.034365,1.0052e+05,0.875,0.54388
177,0.89,0.030771,0.020193,,0.03638,0.69206,0.17987,698.07,602.54,-5.298e-05,-0.00011083,-3.6873e-27,0.00041074,0.99959,0.0030287,0.037702,1.0052e+05,0.87513,0.47523
177,0.89,0.033616,0.022,,0.039693,0.6833,0.17706,819.98,861.22,-0.00011346,-9.3965e-05,2.205e-27,1,1.2741e-06,0.0032711,0.04107,1.0052e+05,0.96517,0.40291
177,0.89,0.036587,0.023923,,0.043183,0.67397,0.17413,849.64,881.57,-0.00017392,-0.00011816,7.7718e-27,1,1.2888e-10,0.0035455,0.044655,1.0052e+05,0.96518,0.38715
177,0.89,0.039532,0.025865,,0.046671,0.66457,0.17125,859.02,882.97,-0.00018462,-0.00014519,3.5618e-27,1,6.7633e-11,0.0038386,0.048275,1.0052e+05,0.96518,0.38125
177,0.89,0.042297,0.027711,,0.049965,0.65564,0.16854,862.75,883.45,-0.00016926,-0.00016291,-1.3169e-28,1,5.645e-11,0.0041259,0.051714,1.0052e+05,0.96518,0.37804
177,0.89,0.044819,0.029409,,0.052979,0.64745,0.16608,864.54,883.67,-0.00014242,-0.00017216,-2.7634e-27,1,5.2262e-11,0.0043944,0.054872,1.0052e+05,0.96518,0.37584
177,0.89,0.047094,0.030951,,0.055706,0.64002,0.16385,865.54,883.78,-0.00011383,-0.00017625,-2.2243e-27,1,5.0292e-11,0.0046405,0.057736,1.0052e+05,0.96518,0.37413
177,0.89,0.049146,0.032352,,0.058171,0.63329,0.16184,866.15,883.84,-8.7765e-05,-0.00017772,4.5488e-28,1,4.9174e-11,0.0048653,0.060329,1.0052e+05,0.96518,0.37272
177,0.89,0.051003,0.033627,,0.060409,0.62718,0.16002,866.55,883.88,-6.5654e-05,-0.00017802,2.6293e-27,1,4.8492e-11,0.0050711,0.062686,1.0052e+05,0.96518,0.37152
177,0.89,0.052696,0.034797,,0.062452,0.62159,0.15836,866.82,883.9,-4.7592e-05,-0.00017786,-9.7668e-28,1,4.8008e-11,0.0052608,0.064842,1.0052e+05,0.96518,0.37046
177,0.89,0.054247,0.035876,,0.06433,0.61644,0.15684,867.02,883.92,-3.3168e-05,-0.00017756,-6.9934e-28,1,4.7643e-11,0.0054368,0.066826,1.0052e+05,0.96518,0.36952
177,0.89,0.055679,0.036878,,0.066067,0.61168,0.15543,867.17,883.94,-2.1834e-05,-0.00017726,0,1,4.74e-11,0.0056013,0.068665,1.0052e+05,0.96518,0.36866
177,0.89,0.057009,0.037816,,0.067685,0.60723,0.15412,867.29,883.95,-1.3062e-05,-0.00017701,-5.0223e-28,1,4.7159e-11,0.0057561,0.070381,1.0052e+05,0.96518,0.36788
177,0.89,0.058252,0.038697,,0.069201,0.60305,0.1529,867.38,883.96,-6.3866e-06,-0.00017683,1.8802e-28,1,4.6971e-11,0.0059027,0.071992,1.0052e+05,0.96518,0.36715
177,0.89,0.05942,0.039532,,0.07063,0.59911,0.15175,867.46,883.97,-1.41e-06,-0.00017671,-1.0242e-27,1,4.6797e-11,0.0060425,0.073514,1.0052e+05,0.96518,0.36647
177,0.89,0.060525,0.040327,,0.071985,0.59536,0.15066,867.53,883.98,2.1945e-06,-0.00017667,-2.1531e-29,1,4.6656e-11,0.0061765,0.074961,1.0052e+05,0.96518,0.36583
177,0.89,0.061576,0.041088,,0.073278,0.59178,0.14962,867.59,883.99,4.6869e-06,-0.00017667,0,1,4.6526e-11,0.0063059,0.076343,1.0052e+05,0.96518,0.36523
177,0.89,0.062581,0.041821,,0.074517,0.58835,0.14863,867.65,884,6.2863e-06,-0.00017672,-5.9186e-28,1,4.6402e-11,0.0064314,0.077671,1.0052e+05,0.96518,0.36465
177,0.89,0.063547,0.042529,,0.075712,0.58502,0.14768,867.7,884,7.178e-06,-0.00017681,-1.0794e-27,1,4.6281e-11,0.0065537,0.078954,1.0052e+05,0.96518,0.36409
177,0.89,0.06448,0.043218,,0.076869,0.5818,0.14676,867.74,884.01,7.4918e-06,-0.00017693,8.7239e-29,1,4.6183e-11,0.0066737,0.080199,1.0052e+05,0.96518,0.36355
177,0.89,0.065386,0.043891,,0.077995,0.57866,0.14586,867.79,884.02,7.347e-06,-0.00017708,0,1,4.6079e-11,0.0067917,0.081414,1.0052e+05,0.96518,0.36303
177,0.89,0.066268,0.044551,,0.079095,0.57558,0.14499,867.83,884.02,6.848e-06,-0.00017726,7.9577e-29,1,4.5979e-11,0.0069084,0.082603,1.0052e+05,0.96518,0.36253
177,0.89,0.067132,0.045201,,0.080175,0.57255,0.14414,867.87,884.03,6.0753e-06,-0.00017745,5.7403e-28,1,4.5888e-11,0.0070241,0.083773,1.0052e+05,0.96518,0.36203
177,0.89,0.067981,0.045843,,0.081239,0.56957,0.1433,867.9,884.04,5.0855e-06,-0.00017765,-5.1142e-29,1,4.5775e-11,0.0071394,0.084927,1.0052e+05,0.96518,0.36154
177,0.89,0.068818,0.046479,,0.08229,0.56661,0.14248,867.94,884.04,3.9281e-06,-0.00017787,0,1,4.5714e-11,0.0072544,0.086071,1.0052e+05,0.96518,0.36106
177,0.89,0.069646,0.047112,,0.083332,0.56368,0.14166,867.98,884.05,2.6616e-06,-0.00017811,-9.7233e-30,1,4.5629e-11,0.0073696,0.087206,1.0052e+05,0.96518,0.36058
177,0.89,0.070467,0.047742,,0.084368,0.56075,0.14085,868.01,884.05,1.3222e-06,-0.00017834,-1.2236e-27,1,4.5521e-11,0.0074852,0.088337,1.0052e+05,0.96518,0.36011
177,0.89,0.071283,0.048372,,0.0854,0.55783,0.14004,868.04,884.06,-6.292e-08,-0.00017859,-3.6602e-29,1,4.5459e-11,0.0076014,0.089466,1.0052e+05,0.96518,0.35964
177,0.89,0.072097,0.049002,,0.086431,0.55492,0.13924,868.08,884.07,-1.4663e-06,-0.00017884,-6.3144e-28,1,4.5379e-11,0.0077184,0.090596,1.0052e+05,0.96518,0.35917
177,0.89,0.07291,0.049635,,0.087463,0.55199,0.13844,868.11,884.07,-2.8681e-06,-0.0001791,-7.2645e-28,1,4.5294e-11,0.0078364,0.091728,1.0052e+05,0.96518,0.3587
177,0.89,0.073724,0.050269,,0.088496,0.54906,0.13763,868.14,884.08,-4.247e-06,-0.00017936,6.5136e-28,1,4.5218e-11,0.0079556,0.092864,1.0052e+05,0.96518,0.35824
177,0.89,0.074539,0.050907,,0.089534,0.54611,0.13683,868.18,884.08,-5.5789e-06,-0.00017963,-1.3221e-28,1,4.5158e-11,0.0080759,0.094006,1.0052e+05,0.96518,0.35777
177,0.89,0.075356,0.051549,,0.090576,0.54314,0.13603,868.21,884.09,-6.847e-06,-0.0001799,5.1816e-28,1,4.5107e-11,0.0081975,0.095154,1.0052e+05,0.96518,0.3573
177,0.89,0.076177,0.052195,,0.091623,0.54016,0.13522,868.24,884.09,-8.0451e-06,-0.00018017,1.0298e-27,1,4.5036e-11,0.0083204,0.096309,1.0052e+05,0.96518,0.35683
177,0.89,0.077001,0.052845,,0.092675,0.53716,0.13441,868.27,884.1,-9.1637e-06,-0.00018044,-4.9892e-28,1,4.4965e-11,0.0084446,0.097472,1.0052e+05,0.96518,0.35635
