"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
83,0.42,0.046535,0.033429,,0.057637,0.62595,0.1662,403.31,400.73,0.00014683,-0.00033906,-5.4182e-27,9.3401e-10,1,0.0067314,0.063522,1.005e+05,0.875,0.79836
83,0.42,0.049552,0.03561,,0.061377,0.61534,0.16333,405.26,401.14,0.00015536,-0.00033459,-8.1476e-27,9.5276e-10,1,0.0071613,0.06763,1.005e+05,0.875,0.79074
83,0.42,0.052641,0.037843,,0.065205,0.60448,0.1604,408.19,401.76,0.00016423,-0.00032869,5.2527e-27,9.8193e-10,1,0.0075995,0.071832,1.005e+05,0.875,0.78127
83,0.42,0.055787,0.04012,,0.069104,0.59344,0.1574,412.56,402.67,0.00017336,-0.00032072,-8.2714e-27,1.0277e-09,1,0.0080433,0.076106,1.005e+05,0.875,0.7692
83,0.42,0.058974,0.042428,,0.073054,0.58226,0.15436,419.1,404.01,0.0001826,-0.00030987,6.6244e-27,1.1007e-09,1,0.00849,0.080431,1.005e+05,0.875,0.75346
83,0.42,0.062186,0.044755,,0.077032,0.57102,0.15129,428.83,405.97,0.00019152,-0.00029509,4.7625e-27,1.2197e-09,1,0.0089364,0.084779,1.005e+05,0.875,0.73273
83,0.42,0.065404,0.047088,,0.081017,0.55979,0.1482,443.25,408.82,0.00019941,-0.00027529,8.9909e-27,1.4226e-09,1,0.009379,0.089126,1.005e+05,0.875,0.70541
83,0.42,0.068613,0.049414,,0.084987,0.54862,0.14511,464.46,413.18,0.00020478,-0.00024955,7.9397e-27,1.805e-09,1,0.0098149,0.093447,1.005e+05,0.875,0.66992
83,0.42,0.071803,0.051726,,0.088929,0.53755,0.14203,495.36,420.74,0.00020636,-0.00021757,3.8352e-27,2.7487e-09,1,0.010242,0.097725,1.005e+05,0.875,0.62512
83,0.42,0.074976,0.054023,,0.092846,0.52658,0.13895,539.77,436.61,0.00019784,-0.00018004,3.7947e-28,7.3261e-09,1,0.010659,0.10196,1.005e+05,0.875,0.57098
