"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
5,0.03,2.3908e-05,1.6772e-05,,2.9317e-05,0.78992,0.20998,400.54,400,-0.0001014,-0.00034466,-6.1351e-27,6.4483e-11,1,3.2888e-06,3.2045e-05,1e+05,0.875,0.86375
5,0.03,4.3678e-05,3.0644e-05,,5.3562e-05,0.78985,0.20996,401.33,400.01,-0.00012037,-0.00034255,-6.2807e-28,6.4494e-11,1,6.0104e-06,5.855e-05,1e+05,0.875,0.86203
5,0.03,7.9812e-05,5.6003e-05,,9.7878e-05,0.78972,0.20992,402.61,400.02,-0.00014327,-0.00033958,6.2035e-27,6.4512e-11,1,1.0987e-05,0.000107,1e+05,0.875,0.85923
5,0.03,0.00014582,0.00010233,,0.00017884,0.78949,0.20986,404.72,400.03,-0.00017118,-0.00033524,1.6997e-27,6.4542e-11,1,2.0083e-05,0.00019552,1e+05,0.875,0.85467
5,0.03,0.00026621,0.00018686,,0.00032652,0.78908,0.20975,408.17,400.06,-0.00020583,-0.00032874,2.2091e-26,6.4593e-11,1,3.6686e-05,0.00035702,1e+05,0.875,0.84727
5,0.03,0.00048507,0.00034057,,0.00059503,0.78832,0.20954,413.83,400.11,-0.00025003,-0.00031879,6.2716e-27,6.468e-11,1,6.6893e-05,0.00065069,1e+05,0.875,0.83536
5,0.03,0.00088044,0.00061832,,0.0010802,0.78695,0.20917,423.13,400.19,-0.0003088,-0.00030336,1.254e-26,6.4829e-11,1,0.00012151,0.0011814,1e+05,0.875,0.81646
5,0.03,0.0015868,0.0011147,,0.001947,0.7845,0.20851,438.29,400.33,-0.00039146,-0.0002794,-1.1962e-26,6.5082e-11,1,0.00021921,0.0021298,1e+05,0.875,0.78727
5,0.03,0.0028262,0.0019862,,0.0034684,0.78019,0.20734,462.83,400.54,-0.00051603,-0.00024254,-2.3878e-26,6.551e-11,1,0.00039087,0.0037947,1e+05,0.875,0.74398
5,0.03,0.0049438,0.0034758,,0.0060685,0.77284,0.20535,501.94,400.9,-0.00071865,-0.00018637,-3.9528e-26,6.6249e-11,1,0.00068462,0.0066409,1e+05,0.875,0.68357
