"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
70,0.355,0.057583,0.041286,,0.071299,0.58689,0.15592,403.59,400.62,0.00015135,-0.00033268,-5.3353e-27,7.8444e-10,1,0.0083649,0.078653,1.0049e+05,0.875,0.784
70,0.355,0.062083,0.044527,,0.076877,0.57101,0.15168,405.66,400.97,0.00015797,-0.00032718,-8.1661e-27,7.9732e-10,1,0.0090171,0.084802,1.0049e+05,0.875,0.77456
70,0.355,0.066758,0.047897,,0.082674,0.55451,0.14727,408.76,401.5,0.00016422,-0.00032011,5.1518e-27,8.1732e-10,1,0.0096942,0.091192,1.0049e+05,0.875,0.76316
70,0.355,0.071593,0.051387,,0.088671,0.53745,0.14271,413.38,402.28,0.00016982,-0.00031084,-8.1912e-27,8.4858e-10,1,0.010394,0.097799,1.0049e+05,0.875,0.74905
70,0.355,0.076567,0.05498,,0.094842,0.51989,0.13801,420.26,403.43,0.00017427,-0.00029854,6.4281e-27,8.9792e-10,1,0.011112,0.1046,1.0049e+05,0.875,0.73122
70,0.355,0.081656,0.058661,,0.10116,0.50194,0.1332,430.45,405.1,0.00017661,-0.00028221,4.6435e-27,9.7722e-10,1,0.011846,0.11155,1.0049e+05,0.875,0.70845
70,0.355,0.086831,0.062409,,0.10758,0.48368,0.1283,445.44,407.52,0.00017545,-0.00026078,8.7625e-27,1.1089e-09,1,0.012591,0.11862,1.0049e+05,0.875,0.67932
70,0.355,0.092067,0.066206,,0.11408,0.46521,0.12333,467.3,411.15,0.00016746,-0.00023333,7.4031e-27,1.3445e-09,1,0.013342,0.12576,1.0049e+05,0.875,0.64252
70,0.355,0.097343,0.070039,,0.12063,0.44661,0.11831,498.82,417.33,0.00015061,-0.00019928,3.1415e-27,1.872e-09,1,0.014097,0.13296,1.0049e+05,0.875,0.59725
70,0.355,0.10266,0.073907,,0.12724,0.42788,0.11325,543.66,430.66,0.00010597,-0.00015821,-8.7528e-28,4.0909e-09,1,0.014855,0.14022,1.0049e+05,0.875,0.54376
70,0.355,0.10807,0.077843,,0.13395,0.40883,0.10809,606.5,464.71,6.2146e-05,-0.00010827,-3.2023e-27,4.33e-08,1,0.015622,0.14759,1.0049e+05,0.875,0.48361
70,0.355,0.11372,0.081952,,0.14096,0.38898,0.10269,693.8,548.26,-0.00021193,-4.2246e-05,-5.5756e-27,1.0738e-05,0.99999,0.016419,0.15527,1.0049e+05,0.875,0.41935
70,0.355,0.11996,0.086484,,0.1487,0.36707,0.096735,816.81,851.11,3.2081e-05,0.00015972,-1.5819e-27,0.92377,0.076234,0.017297,0.16375,1.0049e+05,0.96315,0.35304
70,0.355,0.12221,0.088209,,0.15153,0.35918,0.094482,847.41,874.82,0.00032804,5.4451e-05,-9.6018e-27,0.98952,0.010477,0.017595,0.1668,1.0049e+05,0.96491,0.33922
70,0.355,0.12482,0.090197,,0.15481,0.34994,0.091901,856.97,875.92,0.00018613,3.7887e-05,-3.5961e-27,0.99065,0.0093499,0.017954,0.17037,1.0049e+05,0.96494,0.3342
70,0.355,0.12759,0.092293,,0.15829,0.34011,0.089192,860.7,876.15,0.00017754,3.0097e-05,5.4261e-27,0.99084,0.0091567,0.018345,0.17418,1.0049e+05,0.96494,0.33145
70,0.355,0.1304,0.094417,,0.16183,0.33009,0.086457,862.46,876.25,0.00015591,2.7288e-05,3.018e-27,0.99092,0.0090775,0.018749,0.17806,1.0049e+05,0.96495,0.32947
70,0.355,0.13322,0.096535,,0.16536,0.32005,0.083739,863.41,876.3,0.00014579,2.631e-05,2.815e-27,0.99097,0.0090346,0.019158,0.18194,1.0049e+05,0.96495,0.3278
70,0.355,0.136,0.098629,,0.16886,0.31009,0.081057,863.97,876.33,0.00013715,2.6167e-05,-2.5837e-27,0.99099,0.0090089,0.019567,0.1858,1.0049e+05,0.96495,0.3263
70,0.355,0.13874,0.10069,,0.17231,0.30026,0.078422,864.34,876.35,0.00013034,2.6398e-05,-5.0064e-27,0.99101,0.0089919,0.019973,0.18961,1.0049e+05,0.96495,0.32491
70,0.355,0.14144,0.10271,,0.1757,0.29059,0.075843,864.59,876.36,0.0001243,2.6797e-05,5.1319e-27,0.99102,0.0089806,0.020375,0.19335,1.0049e+05,0.96495,0.32359
70,0.355,0.14407,0.10468,,0.17901,0.28112,0.073324,864.78,876.37,0.00011879,2.7273e-05,2.2738e-27,0.99103,0.008972,0.02077,0.19702,1.0049e+05,0.96495,0.32233
70,0.355,0.14665,0.10661,,0.18224,0.27187,0.070868,864.92,876.38,0.00011362,2.7782e-05,0,0.99103,0.0089661,0.021157,0.2006,1.0049e+05,0.96495,0.32113
70,0.355,0.14916,0.10848,,0.18539,0.26286,0.068481,865.04,876.39,0.00010868,2.83e-05,2.5573e-27,0.99104,0.0089616,0.021534,0.20409,1.0049e+05,0.96495,0.31997
70,0.355,0.1516,0.11029,,0.18845,0.25411,0.066166,865.14,876.39,0.0001039,2.8817e-05,-1.9869e-27,0.99104,0.0089582,0.021902,0.20748,1.0049e+05,0.96495,0.31885
70,0.355,0.15396,0.11205,,0.19142,0.24562,0.063926,865.22,876.39,9.9268e-05,2.9326e-05,5.1108e-27,0.99104,0.0089551,0.02226,0.21077,1.0049e+05,0.96495,0.31779
70,0.355,0.15624,0.11374,,0.19428,0.23742,0.061763,865.3,876.4,9.4745e-05,2.9821e-05,1.8139e-27,0.99105,0.008953,0.022605,0.21395,1.0049e+05,0.96495,0.31676
70,0.355,0.15844,0.11537,,0.19704,0.22952,0.059682,865.36,876.4,9.0319e-05,3.03e-05,0,0.99105,0.0089511,0.022938,0.21701,1.0049e+05,0.96495,0.31578
70,0.355,0.16055,0.11694,,0.19968,0.22194,0.057685,865.43,876.4,8.5978e-05,3.0758e-05,9.0471e-28,0.99105,0.0089496,0.023258,0.21995,1.0049e+05,0.96495,0.31485
