"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
188,0.945,0.011531,0.0077371,,0.013779,0.75245,0.19878,404.47,401.58,7.649e-05,-0.00035511,-5.7363e-27,2.1994e-09,1,0.0012465,0.014474,1.0052e+05,0.875,0.84426
188,0.945,0.012572,0.0084161,,0.015006,0.74916,0.19776,406.93,402.47,7.835e-05,-0.00035078,-7.0603e-27,2.3032e-09,1,0.0013461,0.015741,1.0052e+05,0.875,0.83781
188,0.945,0.013745,0.009182,,0.01639,0.74544,0.19661,410.55,403.78,8.0116e-05,-0.00034464,5.5722e-27,2.469e-09,1,0.0014588,0.017171,1.0052e+05,0.875,0.82893
188,0.945,0.015069,0.010047,,0.017952,0.74125,0.19531,415.86,405.71,8.1472e-05,-0.00033597,-6.8928e-27,2.7416e-09,1,0.0015868,0.018785,1.0052e+05,0.875,0.8167
188,0.945,0.016561,0.011023,,0.019713,0.73651,0.19385,423.62,408.55,8.1829e-05,-0.00032385,9.0823e-27,3.2115e-09,1,0.0017321,0.020608,1.0052e+05,0.875,0.79992
188,0.945,0.018242,0.012123,,0.021699,0.73117,0.19221,434.91,412.78,8.017e-05,-0.00030724,5.0414e-27,4.0889e-09,1,0.0018969,0.022664,1.0052e+05,0.875,0.77715
188,0.945,0.020129,0.01336,,0.023929,0.72516,0.19036,451.23,419.25,7.4841e-05,-0.00028518,9.5018e-27,5.9762e-09,1,0.0020832,0.024977,1.0052e+05,0.875,0.74689
188,0.945,0.02224,0.014745,,0.026426,0.71843,0.1883,474.58,429.49,6.3428e-05,-0.00025717,5.5143e-27,1.1231e-08,1,0.0022929,0.027569,1.0052e+05,0.875,0.70788
188,0.945,0.024589,0.016289,,0.029206,0.71093,0.186,507.48,446.39,4.2278e-05,-0.00022363,7.2565e-28,3.4294e-08,1,0.0025276,0.030456,1.0052e+05,0.875,0.65964
188,0.945,0.027189,0.017997,,0.032284,0.70263,0.18346,553.05,475.01,8.2888e-06,-0.00018624,-3.4378e-27,2.4582e-07,1,0.0027882,0.033654,1.0052e+05,0.875,0.60291
188,0.945,0.030055,0.01988,,0.035676,0.69347,0.18066,615.28,523.71,-5.0629e-05,-0.00014786,-3.0548e-27,5.7938e-06,0.99999,0.0030752,0.037178,1.0052e+05,0.875,0.5396
188,0.945,0.033202,0.021943,,0.039397,0.68344,0.17759,700.27,606.38,-0.00010627,-0.00010819,-4.6725e-27,0.00051882,0.99948,0.0033875,0.04104,1.0052e+05,0.87517,0.47188
188,0.945,0.036417,0.024025,,0.043175,0.67334,0.17443,820.88,861.78,-0.00017506,-9.5119e-05,3.3277e-27,1,3.6643e-07,0.0036881,0.044928,1.0052e+05,0.96517,0.40065
188,0.945,0.039771,0.026235,,0.047148,0.66262,0.17115,850.21,881.92,-0.00024339,-0.00012365,1.0172e-26,1,1.7697e-11,0.0040236,0.049054,1.0052e+05,0.96518,0.3849
188,0.945,0.04309,0.028459,,0.05111,0.65184,0.16791,859.47,883.34,-0.00025269,-0.00015512,4.8024e-27,1,8.7026e-12,0.0043775,0.053207,1.0052e+05,0.96518,0.37887
188,0.945,0.0462,0.030566,,0.054841,0.64164,0.16489,863.15,883.84,-0.00023251,-0.00017586,-7.3939e-28,1,7.0971e-12,0.004722,0.057141,1.0052e+05,0.96518,0.37549
188,0.945,0.049029,0.032499,,0.058247,0.63231,0.16214,864.93,884.07,-0.00019913,-0.00018681,-3.7958e-27,1,6.5002e-12,0.0050423,0.060742,1.0052e+05,0.96518,0.37313
188,0.945,0.051573,0.034248,,0.061318,0.62387,0.15966,865.93,884.18,-0.00016383,-0.00019172,-3.1342e-27,1,6.2232e-12,0.0053346,0.063997,1.0052e+05,0.96518,0.37128
188,0.945,0.053859,0.035829,,0.064083,0.61626,0.15743,866.54,884.24,-0.00013155,-0.00019354,8.2634e-28,1,6.0671e-12,0.0056002,0.066932,1.0052e+05,0.96518,0.36974
188,0.945,0.055921,0.037263,,0.066582,0.60938,0.15543,866.94,884.28,-0.000104,-0.00019394,4.0219e-27,1,5.9717e-12,0.0058421,0.069588,1.0052e+05,0.96518,0.36843
188,0.945,0.057789,0.03857,,0.068853,0.60312,0.1536,867.22,884.31,-8.13e-05,-0.00019378,-1.7317e-27,1,5.904e-12,0.0060635,0.072004,1.0052e+05,0.96518,0.36728
188,0.945,0.059494,0.039768,,0.070928,0.59739,0.15194,867.43,884.33,-6.2984e-05,-0.00019345,-1.2384e-27,1,5.8538e-12,0.0062674,0.074216,1.0052e+05,0.96518,0.36625
188,0.945,0.061059,0.040875,,0.072837,0.59211,0.15041,867.58,884.35,-4.8401e-05,-0.00019311,0,1,5.8197e-12,0.0064564,0.076254,1.0052e+05,0.96518,0.36533
188,0.945,0.062504,0.041902,,0.074604,0.58722,0.149,867.71,884.36,-3.691e-05,-0.00019283,-8.8154e-28,1,5.7859e-12,0.0066326,0.078142,1.0052e+05,0.96518,0.36448
188,0.945,0.063845,0.042862,,0.076248,0.58266,0.14768,867.8,884.37,-2.7949e-05,-0.00019263,5.7586e-28,1,5.7603e-12,0.0067978,0.079901,1.0052e+05,0.96518,0.3637
188,0.945,0.065098,0.043763,,0.077787,0.57839,0.14645,867.89,884.38,-2.1044e-05,-0.00019251,-1.7852e-27,1,5.7361e-12,0.0069537,0.08155,1.0052e+05,0.96518,0.36298
188,0.945,0.066275,0.044613,,0.079235,0.57437,0.1453,867.96,884.39,-1.5801e-05,-0.00019246,-3.432e-28,1,5.7158e-12,0.0071016,0.083105,1.0052e+05,0.96518,0.36231
188,0.945,0.067386,0.04542,,0.080605,0.57056,0.14421,868.02,884.4,-1.1902e-05,-0.00019248,0,1,5.6984e-12,0.0072427,0.084577,1.0052e+05,0.96518,0.36168
188,0.945,0.068439,0.04619,,0.081907,0.56693,0.14318,868.08,884.41,-9.0901e-06,-0.00019255,-7.0236e-28,1,5.6807e-12,0.0073778,0.085979,1.0052e+05,0.96518,0.36108
188,0.945,0.069444,0.046928,,0.083152,0.56346,0.14219,868.13,884.42,-7.1564e-06,-0.00019266,-1.8459e-27,1,5.6648e-12,0.007508,0.087321,1.0052e+05,0.96518,0.36051
188,0.945,0.070406,0.047639,,0.084346,0.56012,0.14125,868.17,884.42,-5.9267e-06,-0.00019281,-1.484e-28,1,5.6503e-12,0.007634,0.088611,1.0052e+05,0.96518,0.35997
188,0.945,0.071332,0.048326,,0.085498,0.55689,0.14034,868.22,884.43,-5.2584e-06,-0.00019299,0,1,5.6354e-12,0.0077565,0.089857,1.0052e+05,0.96518,0.35944
188,0.945,0.072227,0.048993,,0.086613,0.55377,0.13946,868.26,884.44,-5.0308e-06,-0.0001932,-1.2709e-28,1,5.6218e-12,0.007876,0.091065,1.0052e+05,0.96518,0.35894
188,0.945,0.073095,0.049643,,0.087698,0.55073,0.1386,868.3,884.44,-5.1512e-06,-0.00019343,9.6059e-28,1,5.6089e-12,0.0079932,0.092241,1.0052e+05,0.96518,0.35845
188,0.945,0.073941,0.05028,,0.088756,0.54775,0.13777,868.34,884.45,-5.5413e-06,-0.00019368,1.3223e-28,1,5.5944e-12,0.0081083,0.093391,1.0052e+05,0.96518,0.35797
188,0.945,0.074767,0.050905,,0.089793,0.54484,0.13696,868.37,884.46,-6.1343e-06,-0.00019394,0,1,5.5836e-12,0.0082219,0.094519,1.0052e+05,0.96518,0.3575
