"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
156,0.785,0.013452,0.0092488,,0.016258,0.74517,0.19699,403.79,401.29,0.00010335,-0.00035559,-5.7185e-27,1.8022e-09,1,0.0015848,0.017302,1.0051e+05,0.875,0.84266
156,0.785,0.014254,0.0097625,,0.017193,0.7427,0.19619,405.95,402.02,0.00010786,-0.00035192,-7.5922e-27,1.8724e-09,1,0.0016514,0.018249,1.0051e+05,0.875,0.83717
156,0.785,0.015131,0.010322,,0.018213,0.74002,0.19531,409.16,403.1,0.00011267,-0.00034665,5.5714e-27,1.9836e-09,1,0.0017227,0.01928,1.0051e+05,0.875,0.82953
156,0.785,0.016095,0.010934,,0.019333,0.73708,0.19435,413.9,404.7,0.00011766,-0.00033909,-7.5656e-27,2.1636e-09,1,0.0017994,0.020408,1.0051e+05,0.875,0.81887
156,0.785,0.017158,0.011606,,0.020566,0.73385,0.19329,420.91,407.05,0.00012252,-0.00032832,8.3846e-27,2.466e-09,1,0.0018826,0.021647,1.0051e+05,0.875,0.80398
156,0.785,0.018334,0.012346,,0.021926,0.73029,0.19212,431.23,410.54,0.00012663,-0.00031325,5.0772e-27,3.0065e-09,1,0.0019734,0.023013,1.0051e+05,0.875,0.78338
156,0.785,0.019635,0.013164,,0.023431,0.72636,0.19082,446.39,415.84,0.0001289,-0.00029272,9.5935e-27,4.0885e-09,1,0.002073,0.024522,1.0051e+05,0.875,0.75536
156,0.785,0.021075,0.014066,,0.025094,0.72201,0.18938,468.44,424.33,0.0001276,-0.00026592,6.7384e-27,6.7885e-09,1,0.0021826,0.026189,1.0051e+05,0.875,0.7183
156,0.785,0.022666,0.015061,,0.026932,0.71722,0.18779,500.13,438.78,0.0001201,-0.0002329,2.152e-27,1.709e-08,1,0.0023032,0.02803,1.0051e+05,0.875,0.67123
156,0.785,0.024422,0.016157,,0.028957,0.71193,0.18604,544.96,464.58,0.00010402,-0.00019511,-1.707e-27,1.0042e-07,1,0.0024358,0.030058,1.0051e+05,0.875,0.61446
156,0.785,0.026355,0.017361,,0.031186,0.70612,0.18411,607.39,511.26,7.1501e-05,-0.00015533,-3.0574e-27,2.2709e-06,1,0.0025806,0.032288,1.0051e+05,0.875,0.54977
156,0.785,0.028484,0.01868,,0.033635,0.69974,0.18199,694.09,594.62,4.0109e-05,-0.00011481,-1.9453e-27,0.0002514,0.99975,0.0027369,0.034732,1.0051e+05,0.87508,0.47964
156,0.785,0.030684,0.020018,,0.036143,0.69328,0.17978,818.35,860.06,-5.1634e-06,-9.1864e-05,2.0943e-28,0.99999,1.3129e-05,0.0028815,0.037206,1.0051e+05,0.96517,0.40556
156,0.785,0.032977,0.021446,,0.038786,0.6864,0.17749,848.6,880.84,-5.1336e-05,-0.00010879,3.4738e-27,1,5.4475e-09,0.0030517,0.039847,1.0051e+05,0.96518,0.38983
156,0.785,0.035254,0.022897,,0.041437,0.67941,0.17523,858.18,882.19,-6.4044e-05,-0.00012793,1.341e-27,1,3.2238e-09,0.0032406,0.042532,1.0051e+05,0.96518,0.38422
156,0.785,0.037404,0.02429,,0.043958,0.67271,0.1731,861.99,882.64,-5.6941e-05,-0.00014019,9.1812e-28,1,2.8043e-09,0.0034308,0.045106,1.0051e+05,0.96518,0.38132
156,0.785,0.039383,0.025587,,0.046291,0.66649,0.17114,863.81,882.83,-4.1501e-05,-0.00014643,-9.0477e-28,1,2.6444e-09,0.0036125,0.047499,1.0051e+05,0.96518,0.37941
156,0.785,0.041192,0.026785,,0.048431,0.66076,0.16934,864.81,882.93,-2.4575e-05,-0.0001491,-5.8057e-28,1,2.5682e-09,0.0037832,0.049702,1.0051e+05,0.96518,0.37797
156,0.785,0.042848,0.027891,,0.050397,0.65549,0.1677,865.42,882.98,-9.188e-06,-0.00015002,-1.8901e-28,1,2.5239e-09,0.0039431,0.051732,1.0051e+05,0.96518,0.37679
156,0.785,0.044373,0.02892,,0.052214,0.6506,0.16619,865.8,883.02,3.6799e-06,-0.00015017,7.6614e-29,1,2.497e-09,0.004094,0.053615,1.0051e+05,0.96518,0.37577
156,0.785,0.045788,0.029884,,0.053908,0.64603,0.16478,866.07,883.04,1.3962e-05,-0.00015003,3.2982e-28,1,2.4778e-09,0.0042374,0.055374,1.0051e+05,0.96518,0.37487
156,0.785,0.047111,0.030795,,0.055498,0.64172,0.16347,866.26,883.06,2.1926e-05,-0.0001498,3.1381e-28,1,2.4631e-09,0.0043749,0.057032,1.0051e+05,0.96518,0.37405
156,0.785,0.048358,0.031662,,0.057002,0.63764,0.16223,866.4,883.07,2.793e-05,-0.00014958,0,1,2.4532e-09,0.004508,0.058607,1.0051e+05,0.96518,0.37329
156,0.785,0.049542,0.032494,,0.058437,0.63373,0.16105,866.51,883.09,3.2316e-05,-0.0001494,1.5236e-28,1,2.444e-09,0.0046378,0.060114,1.0051e+05,0.96518,0.37258
156,0.785,0.050674,0.033298,,0.059815,0.62996,0.15992,866.6,883.1,3.5386e-05,-0.00014926,-5.7653e-28,1,2.4361e-09,0.0047653,0.061567,1.0051e+05,0.96518,0.37191
156,0.785,0.051763,0.034079,,0.061146,0.6263,0.15884,866.68,883.11,3.7391e-05,-0.00014917,2.8671e-28,1,2.4295e-09,0.0048913,0.062977,1.0051e+05,0.96518,0.37126
156,0.785,0.052818,0.034843,,0.062442,0.62274,0.15779,866.74,883.11,3.8538e-05,-0.00014912,6.4037e-28,1,2.4242e-09,0.0050167,0.064354,1.0051e+05,0.96518,0.37064
156,0.785,0.053846,0.035594,,0.063709,0.61923,0.15677,866.8,883.12,3.9e-05,-0.0001491,0,1,2.4186e-09,0.0051421,0.065706,1.0051e+05,0.96518,0.37003
156,0.785,0.054853,0.036337,,0.064956,0.61578,0.15577,866.86,883.13,3.8909e-05,-0.00014912,-5.2524e-28,1,2.4141e-09,0.005268,0.067041,1.0051e+05,0.96518,0.36943
156,0.785,0.055844,0.037075,,0.066188,0.61235,0.15479,866.91,883.14,3.8376e-05,-0.00014916,2.391e-28,1,2.4092e-09,0.005395,0.068366,1.0051e+05,0.96518,0.36885
156,0.785,0.056824,0.037811,,0.067411,0.60893,0.15381,866.96,883.14,3.7496e-05,-0.00014922,6.2782e-28,1,2.4055e-09,0.0055235,0.069686,1.0051e+05,0.96518,0.36827
156,0.785,0.057798,0.038548,,0.06863,0.60552,0.15285,867,883.15,3.6344e-05,-0.0001493,0,1,2.4016e-09,0.005654,0.071006,1.0051e+05,0.96518,0.36769
156,0.785,0.058768,0.039288,,0.069849,0.60209,0.15189,867.05,883.15,3.4985e-05,-0.00014939,5.837e-28,1,2.3977e-09,0.0057867,0.072331,1.0051e+05,0.96518,0.36711
156,0.785,0.059739,0.040033,,0.071073,0.59864,0.15093,867.09,883.16,3.3468e-05,-0.0001495,-8.9817e-29,1,2.3945e-09,0.0059221,0.073665,1.0051e+05,0.96518,0.36653
156,0.785,0.060713,0.040785,,0.072305,0.59516,0.14996,867.13,883.17,3.1829e-05,-0.00014962,-5.2716e-28,1,2.3901e-09,0.0060604,0.075011,1.0051e+05,0.96518,0.36595
